<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,60,20181109,180000,195.7500000,10871180
SBER,60,20181112,100000,198.3500000,13434620
SBER,60,20181112,110000,198.6000000,8924680
SBER,60,20181112,120000,200.1200000,14751810
SBER,60,20181112,130000,200.8600000,12293810
SBER,60,20181112,140000,200.1100000,5920790
SBER,60,20181112,150000,198.8000000,6921250
SBER,60,20181112,160000,198.6500000,4375670
SBER,60,20181112,170000,197.1000000,9228220
SBER,60,20181112,180000,196.8200000,6325910
SBER,60,20181113,100000,197.0000000,15023680
SBER,60,20181113,110000,196.1000000,10111460
SBER,60,20181113,120000,196.2200000,9186430
SBER,60,20181113,130000,196.9200000,4790700
SBER,60,20181113,140000,196.7500000,4365500
SBER,60,20181113,150000,198.0000000,9037700
SBER,60,20181113,160000,198.6400000,8710720
SBER,60,20181113,170000,198.6500000,5993730
SBER,60,20181113,180000,196.5600000,11268390
SBER,60,20181114,100000,197.2300000,11092570
SBER,60,20181114,110000,193.5900000,11993370
SBER,60,20181114,120000,195.8900000,11980260
SBER,60,20181114,130000,197.0000000,5039120
SBER,60,20181114,140000,196.8500000,7529710
SBER,60,20181114,150000,197.9800000,8255320
SBER,60,20181114,160000,198.2000000,8517180
SBER,60,20181114,170000,198.7500000,9797590
SBER,60,20181114,180000,199.2000000,8719830
SBER,60,20181115,100000,201.6200000,14584120
SBER,60,20181115,110000,200.6900000,12154480
SBER,60,20181115,120000,200.1200000,8024880
SBER,60,20181115,130000,200.9600000,6428160
SBER,60,20181115,140000,200.6900000,3448010
SBER,60,20181115,150000,200.8000000,2590330
SBER,60,20181115,160000,200.4500000,4838610
SBER,60,20181115,170000,200.5200000,4982390
SBER,60,20181115,180000,200.1500000,5144860
SBER,60,20181116,100000,200.8300000,6021280
SBER,60,20181116,110000,202.4600000,17048610
SBER,60,20181116,120000,202.7200000,5181030
SBER,60,20181116,130000,202.8500000,4664920
SBER,60,20181116,140000,201.5000000,5119020
SBER,60,20181116,150000,200.5000000,7079130
SBER,60,20181116,160000,200.1900000,8450290
SBER,60,20181116,170000,199.5200000,7134940
SBER,60,20181116,180000,199.2600000,5634530
SBER,60,20181119,100000,198.7200000,9020080
SBER,60,20181119,110000,198.9900000,5700130
SBER,60,20181119,120000,198.6000000,4201770
SBER,60,20181119,130000,200.0300000,7586210
SBER,60,20181119,140000,199.5100000,3287210
SBER,60,20181119,150000,199.9900000,3168850
SBER,60,20181119,160000,199.4000000,2707580
SBER,60,20181119,170000,198.8800000,5185290
SBER,60,20181119,180000,197.9900000,9619710
